n=infty;R_AC;R_AC/R_AB;poti err;I01;I01err;IL1;IL1err;U1;U1err;U_L/U_0(1);u/u err(1);P_L(1);P_0(1);n(1);n=5;I02;I02err;IL2;IL2err;U2;U2err;u/u(2);u/u err(2);P_L(2);P_L(2)err;P_0(2);P_0(2)err;n(2);n(2)err;n=0.5;I03;I03err;IL3;IL3err;U3;U3err;u/u(3);u/u err(3);P_L(3);P_L(3)err;P_0(3);P_0(3)err;n(3);n(3)err;n=0.05;I04;I04err;IL4;IL4err;U4;U4err;u/u(4);u/u err(4);P_L(4);P_L(4)err;P_0(4);P_0(4)err;n(4);n(4)err
Quelle Fehler;101.5;0.1;0.001998015;2.35;0.0535;0;0.001;0.239;0.003195;0.100209644;0.001966721;0;0.00560475;0;;2.35;0.0535;0.045;0.00154;0.233;0.003165;0.09769392;0.001938399;1.05E-05;5.01E-07;5.60E-03;1.63E-04;0.001870735;1.44E-04;;2.38;0.0538;0.345;0.00514;0.207;0.003035;0.086792453;0.001815672;7.14E-05;2.11E-06;5.68E-03;1.64E-04;0.012581259;7.35E-04;;2.51;0.0551;1.6;0.0202;0.086;0.00243;0.0360587;0.001244518;1.38E-04;5.63E-06;5.99E-03;1.69E-04;2.30E-02;1.59E-03
0.014925;203;0.2;0.003798015;2.35;0.0535;0;0.001;0.476;0.00438;0.199580713;0.003085426;0;0.00560475;0;;2.37;0.0537;0.09;0.00208;0.464;0.00432;0.194549266;0.003028783;4.18E-05;1.35E-06;5.65E-03;1.63E-04;0.007387947;4.53E-04;;2.47;0.0547;0.625;0.0085;0.276;0.00338;0.11572327;0.002141371;1.73E-04;4.46E-06;5.89E-03;1.67E-04;0.029282204;1.59E-03;;2.79;0.0579;2.2;0.0274;0.115;0.002575;0.048218029;0.001381406;2.53E-04;8.82E-06;6.65E-03;1.80E-04;0.038021385;2.35E-03
Quelle V;304.5;0.3;0.005598015;2.35;0.0535;0;0.001;0.712;0.00556;0.298532495;0.004199412;0;0.00560475;0;;2.39;0.0539;0.134;0.002608;0.686;0.00543;0.287631027;0.004076685;9.19E-05;2.52E-06;5.70E-03;1.64E-04;0.016126593;9.06E-04;;2.61;0.0561;0.877;0.011524;0.527;0.004635;0.220964361;0.003326161;4.62E-04;1.01E-05;6.22E-03;1.73E-04;0.074247412;3.69E-03;;3.15;0.0615;2.7;0.0334;0.14;0.0027;0.05870021;0.001499413;3.78E-04;1.20E-05;7.51E-03;1.94E-04;0.050314465;2.89E-03
2.385;406;0.4;0.007398015;2.35;0.0535;0;0.001;0.952;0.00676;0.399161426;0.005332279;0;0.00560475;0;;2.42;0.0542;0.177;0.003124;0.907;0.006535;0.380293501;0.005119866;1.61E-04;3.99E-06;5.77E-03;1.65E-04;0.027814855;1.49E-03;;2.8;0.058;1.127;0.014524;0.677;0.005385;0.283857442;0.004034202;7.63E-04;1.59E-05;6.68E-03;1.80E-04;0.114252621;5.46E-03;;3.62;0.0662;3.2;0.0394;0.167;0.002835;0.070020964;0.001626861;5.34E-04;1.57E-05;8.63E-03;2.12E-04;0.061896985;3.33E-03
;507.5;0.5;0.009198015;2.35;0.0535;0;0.001;1.189;0.007945;0.498532495;0.006450984;0;0.00560475;0;;2.45;0.0545;0.221;0.003652;1.132;0.00766;0.474633124;0.006181928;2.50E-04;5.83E-06;5.84E-03;1.67E-04;0.042813845;2.22E-03;;3.04;0.0604;1.389;0.017668;0.835;0.006175;0.350104822;0.004780006;1.16E-03;2.33E-05;7.25E-03;1.89E-04;0.159965657;7.40E-03;;4.28;0.0728;3.9;0.0478;0.202;0.00301;0.084696017;0.00179207;7.88E-04;2.14E-05;1.02E-02;2.38E-04;0.077176277;3.89E-03
;609;0.6;0.010998015;2.35;0.0535;0;0.001;1.433;0.009165;0.600838574;0.007602732;0;0.00560475;0;;2.51;0.0551;0.266;0.004192;1.363;0.008815;0.57148847;0.007272313;3.63E-04;8.06E-06;5.99E-03;1.69E-04;0.060564117;3.05E-03;;3.36;0.0636;1.688;0.021256;1.014;0.00707;0.425157233;0.005624936;1.71E-03;3.35E-05;8.01E-03;2.02E-04;0.213590895;9.56E-03;;5.22;0.0822;4.8;0.0586;0.25;0.00325;0.104821803;0.002018644;1.20E-03;3.03E-05;1.24E-02;2.74E-04;0.096387865;4.55E-03
;710.5;0.7;0.012798015;2.35;0.0535;0;0.001;1.667;0.010335;0.698951782;0.008707277;0;0.00560475;0;;2.57;0.0557;0.313;0.004756;1.599;0.009995;0.670440252;0.008386298;5.00E-04;1.07E-05;6.13E-03;1.71E-04;0.08165284;4.03E-03;;3.77;0.0677;2.3;0.0286;1.167;0.007835;0.489308176;0.006347138;2.68E-03;5.14E-05;8.99E-03;2.18E-04;0.298516924;1.29E-02;;6.7;0.097;6.3;0.0766;0.325;0.003625;0.136268344;0.002372665;2.05E-03;4.77E-05;1.60E-02;3.31E-04;0.12813292;5.64E-03
;812;0.8;0.014598015;2.35;0.0535;0;0.001;1.906;0.01153;0.799161426;0.009835423;0;0.00560475;0;;2.64;0.0564;0.361;0.005332;1.846;0.01123;0.774004193;0.009552207;6.66E-04;1.39E-05;6.30E-03;1.74E-04;0.10583921;5.13E-03;;4.63;0.0763;2.8;0.0346;1.435;0.009175;0.601677149;0.007612173;4.02E-03;7.53E-05;1.10E-02;2.51E-04;0.36386523;1.51E-02;;9.35;0.1235;8.8;0.1066;0.458;0.00429;0.192033543;0.003000461;4.03E-03;8.66E-05;2.23E-02;4.34E-04;0.180737452;7.40E-03
;913.5;0.9;0.016398015;2.35;0.0535;0;0.001;2.144;0.01272;0.898951782;0.010958849;0;0.00560475;0;;2.72;0.0572;0.412;0.005944;2.108;0.01254;0.883857442;0.010788919;8.68E-04;1.77E-05;6.49E-03;1.77E-04;0.133878407;6.38E-03;;5.58;0.0858;3.6;0.0442;1.806;0.01103;0.757232704;0.009363395;6.50E-03;1.20E-04;1.33E-02;2.88E-04;0.488537229;1.96E-02;;15.53;0.1853;14.8;0.1786;0.765;0.005825;0.320754717;0.004449587;1.13E-02;2.23E-04;3.70E-02;6.74E-04;0.305677386;1.16E-02
;1015;1;0.018198015;2.35;0.0535;0;0.001;2.385;0.013925;1;0.012096436;0;0.00560475;0;;2.81;0.0581;0.466;0.006592;2.384;0.01392;0.999580713;0.012091716;1.11E-03;2.22E-05;6.70E-03;1.81E-04;0.165766766;7.78E-03;;7.08;0.1008;4.8;0.0586;2.375;0.013875;0.995807128;0.012049233;1.14E-02;2.06E-04;1.69E-02;3.46E-04;0.675123477;2.60E-02;;46.27;0.4927;44.6;0.5362;2.292;0.01346;0.961006289;0.01165745;1.02E-01;1.83E-03;1.10E-01;1.87E-03;0.926321169;3.22E-02
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.04;0.2604;22.1;0.2662;1.138;0.00769;0.477148847;0.00621025;2.51E-02;4.73E-04;5.50E-02;9.65E-04;0.457681837;1.66E-02
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.93;0.3393;29.8;0.3586;1.53;0.00965;0.641509434;0.008060599;4.56E-02;8.36E-04;7.38E-02;1.27E-03;0.618072458;2.20E-02